objectid,filename,logo,title,description,website,latitude,longitude,format,subject,hrv,location,language,address,date,institution,provenance,access,Timestamp,Name of Institution,Description of the Institution,Logo or Picture,Origin,Type of Institution,Coverage (Human Rights Violations Vocabulary),Coverage (Keywords),Longitude (if they have a physical location),Lattitude (if they have a physical location),Website of the Institution,Has digitized materials available online?,Languages,Comments or Notes,Country,Physical Address (If available),Date of Establishment
id2,https://lh3.googleusercontent.com/d/1hv7n-QBLOnU4VPQmf-V_wt1EnfnGHiMB,https://lh3.googleusercontent.com/d/1hv7n-QBLOnU4VPQmf-V_wt1EnfnGHiMB,Centraal Archief Bijzondere Rechtspleging (CABR),"The Central Archives for Special Jurisdiction (CABR) is the largest archive on the Second World War in the Netherlands. It contains 3.8 kilometers of files with 30 million pages on people suspected of collaboration with the German occupiers. In addition to legal documents, the CABR contains witness statements, personal letters and stories of victims. (https://oorlogvoorderechter.nl/over-het-archief/)",https://oorlogvoorderechter.nl/,52.08082225,4.326664536,record,Collaboration with Nazis; War Archives;,Genocide,"Netherlands, The; Europe",Dutch,"Prins Willem-Alexanderhof 20 2595 BE, The Hague, The Netherlands",1/1/1944,Tribunals and other courts,"During process of pacification, transition, and establishing accountability",No,3/26/2025 16:53:37,Centraal Archief Bijzondere Rechtspleging (CABR),"The Central Archives for Special Jurisdiction (CABR) is the largest archive on the Second World War in the Netherlands. It contains 3.8 kilometers of files with 30 million pages on people suspected of collaboration with the German occupiers. In addition to legal documents, the CABR contains witness statements, personal letters and stories of victims. (https://oorlogvoorderechter.nl/over-het-archief/)",https://drive.google.com/open?id=1hv7n-QBLOnU4VPQmf-V_wt1EnfnGHiMB,"During process of pacification, transition, and establishing accountability",Tribunals and other courts,Genocide,Collaboration with Nazis; War Archives;,52.08082225,4.326664536,https://oorlogvoorderechter.nl/,No,Dutch,,"Netherlands, The; Europe","Prins Willem-Alexanderhof 20 2595 BE, The Hague, The Netherlands",01/01/1944
id3,https://lh3.googleusercontent.com/d/1eXgUmkEwjDfxgkViBt5gR5vsq-sJOsWF,https://lh3.googleusercontent.com/d/1eXgUmkEwjDfxgkViBt5gR5vsq-sJOsWF,La Fundación de Documentación y Archivo Vicaría de la Solidaridad (FUNVISOL),"The Vicariate of Solidarity Documentation and Archive Foundation (FUNVISOL) is responsible for organizing, safeguarding, providing access to, and disseminating the documentary heritage of the work carried out by the Vicariate of Solidarity and its predecessor, the Committee for Cooperation for Peace in Chile (COPACHI), in the defense and promotion of human rights during the military dictatorship in Chile. (https://www.vicariadelasolidaridad.cl/archivo_y_centro_de_documentacion)",https://www.vicariadelasolidaridad.cl/,-33.40361568,-70.55755993,record,Military Dictatorship; COPACHI; UNESCO Memory of the World,Extrajudicial execution or other killing; Arbitrary detention; Torture,Chile; South America,Spanish,"The Trinitarians 7101, Las Condes, Hernando de Magallanes Metro Station, Santiago, Chile",8/18/1992,Religious Sector,"Emerged as an urgent, pragmatic, solidary reaction",Partial,3/26/2025 17:41:11,La Fundación de Documentación y Archivo Vicaría de la Solidaridad (FUNVISOL),"The Vicariate of Solidarity Documentation and Archive Foundation (FUNVISOL) is responsible for organizing, safeguarding, providing access to, and disseminating the documentary heritage of the work carried out by the Vicariate of Solidarity and its predecessor, the Committee for Cooperation for Peace in Chile (COPACHI), in the defense and promotion of human rights during the military dictatorship in Chile. (https://www.vicariadelasolidaridad.cl/archivo_y_centro_de_documentacion)",https://drive.google.com/open?id=1eXgUmkEwjDfxgkViBt5gR5vsq-sJOsWF,"Emerged as an urgent, pragmatic, solidary reaction",Religious Sector,Extrajudicial execution or other killing; Arbitrary detention; Torture,Military Dictatorship; COPACHI; UNESCO Memory of the World,-33.40361568,-70.55755993,https://www.vicariadelasolidaridad.cl/,Partial,Spanish,,Chile; South America,"The Trinitarians 7101, Las Condes, Hernando de Magallanes Metro Station, Santiago, Chile",8/18/1992
id4,https://lh3.googleusercontent.com/d/1QDitbHktP5SaMIUwqYQ9KZOg32OrTkZN,https://lh3.googleusercontent.com/d/1QDitbHktP5SaMIUwqYQ9KZOg32OrTkZN,Human Rights Web Archive,"An initiative of CUL's Center for Human Rights Documentation and Research, the Human Rights Web Archive is an effort to preserve and ensure access to freely available human rights resources created mainly by non-governmental organizations, national human rights institutions, and individuals. (https://archive-it.org/collections/1068)",https://archive-it.org/collections/1068,40.80653135,-73.96276243,record,Web Archives,,United States; North America,,,5/1/2008,University or Research Institute,"During process of pacification, transition, and establishing accountability",Yes,3/28/2025 10:19:12,Human Rights Web Archive,"An initiative of CUL's Center for Human Rights Documentation and Research, the Human Rights Web Archive is an effort to preserve and ensure access to freely available human rights resources created mainly by non-governmental organizations, national human rights institutions, and individuals. (https://archive-it.org/collections/1068)",https://drive.google.com/open?id=1QDitbHktP5SaMIUwqYQ9KZOg32OrTkZN,"During process of pacification, transition, and establishing accountability",University or Research Institute,,Web Archives,40.80653135,-73.96276243,https://archive-it.org/collections/1068,Yes,,,United States; North America,,5/1/2008
id5,https://lh3.googleusercontent.com/d/1UV0vbsV5c3Pf6zUa-7kgVViW9qksfqSJ,https://lh3.googleusercontent.com/d/1UV0vbsV5c3Pf6zUa-7kgVViW9qksfqSJ,International League for Human Rights records,"The International League for Human Rights was founded in New York City in 1942 as the International League for the Rights of Man, a non-governmental agency to promote human rights worldwide. The League takes as its platform the Universal Declaration of Human Rights, adopted by the United Nations in 1948. The League sponsors studies and programs on human rights, conducts direct interventions with governments concerning rights violations, lodges protests with international agencies, conducts investigative missions, sends observers to political trials, and aids individual victims of human rights violations. The records consist of correspondence, memoranda, minutes, reports, financial papers, case files and printed matter such as clippings, press releases, brochures, and newsletters. This material documents League efforts to investigate human rights abuses around the world, to assist individual victims, and to participate in conferences sponsored by the United Nations and other international organizations. Correspondence files include letters of League founder and chairman Roger Baldwin to and from League members and other individuals and organizations. Also included are internal memoranda, press releases, reports and ephemera relating to the investigation of rights violations in various countries. Administrative records and case files from the Family Reunification Program document League efforts to aid individuals fleeing political oppression in Eastern Europe and elsewhere during the 1970s-80s. (https://archives.nypl.org/mss/1518)",https://archives.nypl.org/mss/1518,40.7535033,-73.98130927,record,International League for Human Rights; International League for the Rights of Man,,United States; North America,English; German; French; Spanish,"Manuscripts and Archives Division Stephen A. Schwarzman Building Fifth Avenue at 42nd Street, New York, NY 10018-2788 Brooke Russell Astor Reading Room, Third Floor, Room 328",1/1/1964,"Public Library, Archives, or Museum","During process of pacification, transition, and establishing accountability",No,3/28/2025 18:39:40,International League for Human Rights records,"The International League for Human Rights was founded in New York City in 1942 as the International League for the Rights of Man, a non-governmental agency to promote human rights worldwide. The League takes as its platform the Universal Declaration of Human Rights, adopted by the United Nations in 1948. The League sponsors studies and programs on human rights, conducts direct interventions with governments concerning rights violations, lodges protests with international agencies, conducts investigative missions, sends observers to political trials, and aids individual victims of human rights violations. The records consist of correspondence, memoranda, minutes, reports, financial papers, case files and printed matter such as clippings, press releases, brochures, and newsletters. This material documents League efforts to investigate human rights abuses around the world, to assist individual victims, and to participate in conferences sponsored by the United Nations and other international organizations. Correspondence files include letters of League founder and chairman Roger Baldwin to and from League members and other individuals and organizations. Also included are internal memoranda, press releases, reports and ephemera relating to the investigation of rights violations in various countries. Administrative records and case files from the Family Reunification Program document League efforts to aid individuals fleeing political oppression in Eastern Europe and elsewhere during the 1970s-80s. (https://archives.nypl.org/mss/1518)",https://drive.google.com/open?id=1UV0vbsV5c3Pf6zUa-7kgVViW9qksfqSJ,"During process of pacification, transition, and establishing accountability","Public Library, Archives, or Museum",,International League for Human Rights; International League for the Rights of Man,40.7535033,-73.98130927,https://archives.nypl.org/mss/1518,No,English; German; French; Spanish,,United States; North America,"Manuscripts and Archives Division Stephen A. Schwarzman Building Fifth Avenue at 42nd Street, New York, NY 10018-2788 Brooke Russell Astor Reading Room, Third Floor, Room 328",1/1/1964
id6,https://lh3.googleusercontent.com/d/15NCNYicvvAd7RG2Di1dzJp2rA-g7P90y,https://lh3.googleusercontent.com/d/15NCNYicvvAd7RG2Di1dzJp2rA-g7P90y,Autoriteti për Informimin mbi Dokumentet e ish-Sigurimit të Shtetit – AIDSSH,"The Authority for Information on Former State Security Documents (Albanian: Autoriteti për Informimin mbi Dokumentet e ish-Sigurimit të Shtetit – AIDSSH) is a public, independent, legal entity in the Republic of Albania, responsible for the collection, administration, processing and use of former State Security documents and any information related to them. The authority is headquartered in Tirana and is financed primarily by the state budget and other legal sources. (Wikipedia)",https://autoritetidosjeve.gov.al/,41.34303887,19.84066625,record,Sigurimi; Directorate of State Security; State Security of the People's Socialist Republic of Albania; European Network of Official Authorities in Charge of Secret Police Files,Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced Labor,Albania; Europe,Albanian,"Njësia Administrative nr. 4, Rruga e Dibrës, Garnizoni “Skënderbej”, Tirana, Albania",5/22/2015,"Truth, Reparations, and/or Memorialization Commissions",As bureaucratic records during the abuse,No,3/28/2025 19:46:25,Autoriteti për Informimin mbi Dokumentet e ish-Sigurimit të Shtetit – AIDSSH,"The Authority for Information on Former State Security Documents (Albanian: Autoriteti për Informimin mbi Dokumentet e ish-Sigurimit të Shtetit – AIDSSH) is a public, independent, legal entity in the Republic of Albania, responsible for the collection, administration, processing and use of former State Security documents and any information related to them. The authority is headquartered in Tirana and is financed primarily by the state budget and other legal sources. (Wikipedia)",https://drive.google.com/open?id=15NCNYicvvAd7RG2Di1dzJp2rA-g7P90y,As bureaucratic records during the abuse,"Truth, Reparations, and/or Memorialization Commissions",Extrajudicial execution or other killing; Arbitrary detention; Torture; Forced Labor,Sigurimi; Directorate of State Security; State Security of the People's Socialist Republic of Albania; European Network of Official Authorities in Charge of Secret Police Files,41.34303887,19.84066625,https://autoritetidosjeve.gov.al/,No,Albanian,,Albania; Europe,"Njësia Administrative nr. 4, Rruga e Dibrës, Garnizoni “Skënderbej”, Tirana, Albania",5/22/2015
id7,https://lh3.googleusercontent.com/d/1x3cH9q-rcea8Y9ECelreCpywflTcBsbu,https://lh3.googleusercontent.com/d/1x3cH9q-rcea8Y9ECelreCpywflTcBsbu,Stasi-Unterlagen-Archiv (Stasi Records Archive),"The Stasi Records Archive in the Berlin central office and twelve regional offices are responsible for the safekeeping, utilization and accessibility of all records of the Ministry of State Security (1950 - 1990). (https://www.bundesarchiv.de/stasi-unterlagen-archiv/)",https://www.bundesarchiv.de/stasi-unterlagen-archiv/,52.51187571,13.49081484,record,Ministry for State Security; State Security Service; German Democratic Republic; East Germany; Peaceful Revolution; European Network of Official Authorities in Charge of Secret Police Files,Surveillance,Germany; Europe,German,"Frankfurter Allee 204 10365 Berlin, Germany",12/29/1991,"Public Library, Archives, or Museum",As bureaucratic records during the abuse,Partial,3/28/2025 22:44:32,Stasi-Unterlagen-Archiv (Stasi Records Archive),"The Stasi Records Archive in the Berlin central office and twelve regional offices are responsible for the safekeeping, utilization and accessibility of all records of the Ministry of State Security (1950 - 1990). (https://www.bundesarchiv.de/stasi-unterlagen-archiv/)",https://drive.google.com/open?id=1x3cH9q-rcea8Y9ECelreCpywflTcBsbu,As bureaucratic records during the abuse,"Public Library, Archives, or Museum",Surveillance,Ministry for State Security; State Security Service; German Democratic Republic; East Germany; Peaceful Revolution; European Network of Official Authorities in Charge of Secret Police Files,52.51187571,13.49081484,https://www.bundesarchiv.de/stasi-unterlagen-archiv/,Partial,German,,Germany; Europe,"Frankfurter Allee 204 10365 Berlin, Germany",12/29/1991
id8,https://lh3.googleusercontent.com/d/1P4ETZkOWpFhsmtoPk9V1KPDaMnb_WiHR,https://lh3.googleusercontent.com/d/1P4ETZkOWpFhsmtoPk9V1KPDaMnb_WiHR,Holocaust-Related Records at the National Archives,"The National Archives and Records Administration (NARA) is an international epicenter of Holocaust-related research. NARA holds millions of records created or received by the U.S. Government during and after World War II that document Nazi war crimes, wartime refugee issues, and activities and investigations of U.S. Government agencies involved in the identification and recovery of looted assets (including gold, art, and cultural property)-as well as captured German records used as evidence at the International Military Tribunal (IMT) at Nuremberg, U.S. military tribunals at Nuremberg, and U.S. Army courts. (https://www.archives.gov/research/holocaust)",https://www.archives.gov/research/holocaust,39.01518248,-76.92154885,record,Nazi War Crimes; Nuremberg Trials; World War II Refugees; Nazi Concentration Camps,Holocaust; Genocide,United States; North America,,"8601 Adelphi Rd, College Park, MD 20740, USA",,"Public Library, Archives, or Museum","During process of pacification, transition, and establishing accountability",Partial,3/29/2025 15:37:26,Holocaust-Related Records at the National Archives,"The National Archives and Records Administration (NARA) is an international epicenter of Holocaust-related research. NARA holds millions of records created or received by the U.S. Government during and after World War II that document Nazi war crimes, wartime refugee issues, and activities and investigations of U.S. Government agencies involved in the identification and recovery of looted assets (including gold, art, and cultural property)-as well as captured German records used as evidence at the International Military Tribunal (IMT) at Nuremberg, U.S. military tribunals at Nuremberg, and U.S. Army courts. (https://www.archives.gov/research/holocaust)",https://drive.google.com/open?id=1P4ETZkOWpFhsmtoPk9V1KPDaMnb_WiHR,"During process of pacification, transition, and establishing accountability","Public Library, Archives, or Museum",Holocaust; Genocide,Nazi War Crimes; Nuremberg Trials; World War II Refugees; Nazi Concentration Camps,39.01518248,-76.92154885,https://www.archives.gov/research/holocaust,Partial,,,United States; North America,"8601 Adelphi Rd, College Park, MD 20740, USA",
id9,https://lh3.googleusercontent.com/d/1MRkTIrBE0LE9aPYsMy_ajlAt8fPnJi1c,https://lh3.googleusercontent.com/d/1MRkTIrBE0LE9aPYsMy_ajlAt8fPnJi1c,Holocaust Archive at the YIVO Institute for Jewish Research,"Established in 1945, the YIVO Holocaust Archive holds close to 7 million pages of documents in more than 10 languages, covering events in all countries occupied by the Third Reich or where the circumstances of the Holocaust were experienced. The largest North American repository of original documents on the Holocaust, the Archive is also one of the most important of its kind in the world. The YIVO Holocaust Archive continues to expand each year, reflecting a steady annual stream of new archival donations. (https://yivo.org/Holocaust-Archive)",https://yivo.org/Holocaust-Archive,40.73810639,-73.99327424,record,Holocaust Survivors; Nazi Concentration Camps,Holocaust; Genocide,United States; North America,,"15 W. 16th St. New York, NY 10011, USA",1/1/1945,University or Research Institute,Multiple,Partial,3/29/2025 15:54:35,Holocaust Archive at the YIVO Institute for Jewish Research,"Established in 1945, the YIVO Holocaust Archive holds close to 7 million pages of documents in more than 10 languages, covering events in all countries occupied by the Third Reich or where the circumstances of the Holocaust were experienced. The largest North American repository of original documents on the Holocaust, the Archive is also one of the most important of its kind in the world. The YIVO Holocaust Archive continues to expand each year, reflecting a steady annual stream of new archival donations. (https://yivo.org/Holocaust-Archive)",https://drive.google.com/open?id=1MRkTIrBE0LE9aPYsMy_ajlAt8fPnJi1c,Multiple,University or Research Institute,Holocaust; Genocide,Holocaust Survivors; Nazi Concentration Camps,40.73810639,-73.99327424,https://yivo.org/Holocaust-Archive,Partial,,,United States; North America,"15 W. 16th St. New York, NY 10011, USA",1/1/1945
id10,https://lh3.googleusercontent.com/d/18nkffMm1pDMq2qjGlY87Jf5nN3AREc9c,https://lh3.googleusercontent.com/d/18nkffMm1pDMq2qjGlY87Jf5nN3AREc9c,Arolsen Archives,"Clarifying fates and looking for missing persons: for decades, these were the central tasks of the Arolsen Archives. To this day, we answer inquiries about some 20,000 victims of Nazi persecution every year. Our work in the fields of research and education is more important than ever to inform today’s society about the crimes perpetrated by the Nazis. The comprehensive online archive is an essential part of what we do. As an international center on Nazi persecution, we see it as our mission to contribute to debate on remembrance and coming to terms with the Nazi period, political persecution and racism. (https://arolsen-archives.org/en/about-us/)",https://arolsen-archives.org/en/,51.37821401,9.01969569,record,Nazi persecution; Holocaust survivors; International Tracing Service (ITS),Holocaust; Genocide,Germany; Europe,German; English,"Große Allee 5-9, 34454 Bad Arolsen, Germany",1/1/1948,"Truth, Reparations, and/or Memorialization Commissions",Multiple,Yes,3/29/2025 16:18:35,Arolsen Archives,"Clarifying fates and looking for missing persons: for decades, these were the central tasks of the Arolsen Archives. To this day, we answer inquiries about some 20,000 victims of Nazi persecution every year. Our work in the fields of research and education is more important than ever to inform today’s society about the crimes perpetrated by the Nazis. The comprehensive online archive is an essential part of what we do. As an international center on Nazi persecution, we see it as our mission to contribute to debate on remembrance and coming to terms with the Nazi period, political persecution and racism. (https://arolsen-archives.org/en/about-us/)",https://drive.google.com/open?id=18nkffMm1pDMq2qjGlY87Jf5nN3AREc9c,Multiple,"Truth, Reparations, and/or Memorialization Commissions",Holocaust; Genocide,Nazi persecution; Holocaust survivors; International Tracing Service (ITS),51.37821401,9.01969569,https://arolsen-archives.org/en/,Yes,German; English,,Germany; Europe,"Große Allee 5-9, 34454 Bad Arolsen, Germany",1/1/1948
id11,https://lh3.googleusercontent.com/d/12vCa39f71QM20jGObRqOYeJ5_bljP3_o,https://lh3.googleusercontent.com/d/12vCa39f71QM20jGObRqOYeJ5_bljP3_o,Yad Vashem Archives,"In 1953, the Israeli Knesset enacted the Yad Vashem Law, which determined that among its other missions, the task of Yad Vashem is “to collect, examine and publish testimony of the disaster and the heroism it called forth…”. Indeed, efforts to document the Holocaust had begun long before the passage of the law. From the Nazi rise to power in Germany, and throughout World War II, there were those who documented the events as they were taking place, often under the harshest conditions. Immediately after the war, centers for documentation and the collection of testimonies were established in many places around the world, including Munich, Warsaw, Lodz, Lublin, Paris, Bratislava, Budapest and other locations. (https://www.yadvashem.org/archive/about.html)",https://www.yadvashem.org/,31.77434863,35.17591334,record,Holocaust victims memorialization,Holocaust; Genocide,Israel; West Asia,,"Yad Vashem, Har Hazikaron P.O.B. 3477, Jerusalem 9103401, Israel",1/1/1953,"Truth, Reparations, and/or Memorialization Commissions",Multiple,Partial,3/29/2025 16:43:10,Yad Vashem Archives,"In 1953, the Israeli Knesset enacted the Yad Vashem Law, which determined that among its other missions, the task of Yad Vashem is “to collect, examine and publish testimony of the disaster and the heroism it called forth…”. Indeed, efforts to document the Holocaust had begun long before the passage of the law. From the Nazi rise to power in Germany, and throughout World War II, there were those who documented the events as they were taking place, often under the harshest conditions. Immediately after the war, centers for documentation and the collection of testimonies were established in many places around the world, including Munich, Warsaw, Lodz, Lublin, Paris, Bratislava, Budapest and other locations. (https://www.yadvashem.org/archive/about.html)",https://drive.google.com/open?id=12vCa39f71QM20jGObRqOYeJ5_bljP3_o,Multiple,"Truth, Reparations, and/or Memorialization Commissions",Holocaust; Genocide,Holocaust victims memorialization,31.77434863,35.17591334,https://www.yadvashem.org/,Partial,,,Israel; West Asia,"Yad Vashem, Har Hazikaron P.O.B. 3477, Jerusalem 9103401, Israel",1/1/1953
